B34    190.9174480 +11.5013840 22.089  0.013 20.645  0.013  1.445  0.018
B36    190.9745266 +11.5316921 22.133  0.013 20.743  0.013  1.390  0.018
B38    190.9811313 +11.5367065 21.723  0.012 20.759  0.013  0.964  0.018
B39    190.9494349 +11.5285782 21.905  0.013 20.786  0.013  1.119  0.018
B41    190.9405495 +11.5125958 21.854  0.012 20.814  0.013  1.040  0.018
B42    190.9410585 +11.5348888 22.092  0.013 20.821  0.015  1.270  0.019
B43    190.9828183 +11.5378176 21.842  0.012 20.812  0.013  1.030  0.018
B45    190.9687988 +11.5256521 22.221  0.013 20.840  0.013  1.382  0.018
B47    190.9687308 +11.5153585 22.114  0.013 20.893  0.013  1.220  0.018
B48    190.9488819 +11.5436324 22.389  0.014 20.917  0.015  1.471  0.020
B50    190.9472943 +11.5322899 21.981  0.013 20.926  0.015  1.055  0.019
B51    190.9862347 +11.5393461 22.357  0.014 20.933  0.013  1.424  0.019
B52    190.9302853 +11.5297875 22.466  0.014 20.940  0.015  1.527  0.020
B54    190.9421915 +11.5461242 22.075  0.013 21.054  0.015  1.022  0.019
B55    190.9424761 +11.5249276 22.077  0.013 21.064  0.015  1.014  0.019
B57    190.9380080 +11.5419843 22.461  0.015 21.100  0.016  1.361  0.022
B58    190.9407162 +11.5464013 22.708  0.016 21.158  0.016  1.551  0.023
B59    190.9753788 +11.5178586 22.061  0.013 21.161  0.015  0.900  0.019
B60    190.9400824 +11.5107613 22.750  0.015 21.234  0.015  1.516  0.021
B65    190.9301552 +11.5324835 22.893  0.016 21.319  0.016  1.574  0.023
B66    190.9458199 +11.5398317 22.638  0.015 21.324  0.016  1.314  0.022
B67    190.9637410 +11.5229170 22.554  0.015 21.316  0.015  1.238  0.021
B68    190.9566372 +11.5158175 22.670  0.015 21.306  0.016  1.364  0.022
B69    190.9397245 +11.5447620 22.268  0.014 21.320  0.018  0.948  0.023
B70    190.9512105 +11.5138600 23.326  0.022 21.327  0.016  1.998  0.027
B71    190.9817565 +11.5155960 22.271  0.013 21.320  0.015  0.950  0.019
B72    190.9432256 +11.5259152 22.436  0.014 21.324  0.016  1.112  0.021
B73    190.9362269 +11.5154558 22.346  0.014 21.316  0.016  1.030  0.021
B77    190.9461899 +11.5226524 22.296  0.014 21.391  0.016  0.905  0.021
B79    190.9303850 +11.5190512 22.669  0.015 21.420  0.016  1.249  0.022
B80    190.9722592 +11.5267082 22.331  0.014 21.447  0.016  0.884  0.021
B82    190.9219238 +11.5163420 22.621  0.015 21.330  0.016  1.291  0.022
B83    190.9467550 +11.5407885 22.833  0.016 21.498  0.018  1.335  0.024
B84    190.9314014 +11.5388039 22.383  0.011 21.508  0.014  0.895  0.018
B85    190.9840686 +11.5366724 22.499  0.014 21.202  0.015  1.298  0.020
B86    190.9361566 +11.5531084 23.199  0.015 21.533  0.012  1.705  0.019
